Transaction ID,Date & Time,Type,Amount ($),Balance After ($),Description
35,2026-08-05 10:36:57,DEPOSIT,495.81,20172.39,Sold Old Laptop
34,2026-08-02 20:54:05,WITHDRAWAL,96.96,19676.58,Gym Membership
33,2026-07-31 07:11:14,WITHDRAWAL,59.16,19773.54,Electric & Water Bill
32,2026-07-28 17:28:23,WITHDRAWAL,110.88,19832.70,Amazon Purchase
31,2026-07-26 03:45:31,DEPOSIT,447.16,19943.58,Tax Refund
30,2026-07-23 14:02:40,DEPOSIT,200.16,19496.42,Consulting Fee
29,2026-07-21 00:19:48,WITHDRAWAL,137.88,19296.26,Electric & Water Bill
28,2026-07-18 10:36:57,WITHDRAWAL,98.70,19434.14,Gym Membership
27,2026-07-15 20:54:05,DEPOSIT,370.93,19532.84,Freelance Client Payment
26,2026-07-13 07:11:14,DEPOSIT,4500.00,19161.91,Monthly Salary Credit
25,2026-07-10 17:28:23,WITHDRAWAL,70.84,14661.91,Restaurant Dinner
24,2026-07-08 03:45:31,DEPOSIT,424.95,14732.75,Consulting Fee
23,2026-07-05 14:02:40,DEPOSIT,140.65,14307.80,Freelance Client Payment
22,2026-07-03 00:19:48,WITHDRAWAL,115.64,14167.15,Apartment Rent
21,2026-06-30 10:36:57,DEPOSIT,385.65,14282.79,Freelance Client Payment
20,2026-06-27 20:54:05,WITHDRAWAL,129.34,13897.14,Restaurant Dinner
19,2026-06-25 07:11:14,WITHDRAWAL,186.71,14026.48,Gym Membership
18,2026-06-22 17:28:23,DEPOSIT,156.15,14213.19,Sold Old Laptop
17,2026-06-20 03:45:31,DEPOSIT,164.50,14057.04,Stock Dividend
16,2026-06-17 14:02:40,DEPOSIT,4500.00,13892.54,Monthly Salary Credit
15,2026-06-15 00:19:48,WITHDRAWAL,62.32,9392.54,Car Maintenance
14,2026-06-12 10:36:57,DEPOSIT,89.57,9454.86,Freelance Client Payment
13,2026-06-09 20:54:05,WITHDRAWAL,184.24,9365.29,Car Maintenance
12,2026-06-07 07:11:14,DEPOSIT,59.03,9549.53,Sold Old Laptop
11,2026-06-04 17:28:23,DEPOSIT,163.84,9490.50,Consulting Fee
10,2026-06-02 03:45:31,WITHDRAWAL,102.74,9326.66,Gym Membership
9,2026-05-30 14:02:40,WITHDRAWAL,23.76,9429.40,Internet Bill
8,2026-05-28 00:19:48,WITHDRAWAL,186.66,9453.16,Electric & Water Bill
7,2026-05-25 10:36:57,WITHDRAWAL,143.78,9639.82,Uber Ride
6,2026-05-22 20:54:05,DEPOSIT,4500.00,9783.60,Monthly Salary Credit
5,2026-05-20 07:11:14,DEPOSIT,140.43,5283.60,Stock Dividend
4,2026-05-17 17:28:23,DEPOSIT,431.33,5143.17,Tax Refund
3,2026-05-15 03:45:31,DEPOSIT,295.01,4711.84,Freelance Client Payment
2,2026-05-12 14:02:40,WITHDRAWAL,83.17,4416.83,Gym Membership
1,2026-05-10 00:19:48,DEPOSIT,4500.00,4500.00,Monthly Salary Credit
